Locality Number	Station Number	Locality Name	Address Name
30000	3850	ירושלים	יהודה הנשיא 26
30000	3870	ירושלים	אליעזר הגדול 4
30000	3880	ירושלים	רבי חייא 3
30000	3890	ירושלים	א דרג'י 3
30000	3930	ירושלים	אהרוני 14
30000	3950	ירושלים	אהרוני 14
30000	4010	ירושלים	אהרוני 14
30000	4040	ירושלים	אהרוני 14
30000	4060	ירושלים	"הפלמ""ח 57"
30000	4080	ירושלים	המשורינים 4
30000	4100	ירושלים	אהרוני 14
30000	4120	ירושלים	"הפלמ""ח 57"
30000	4280	ירושלים	כובשי קטמון 15
30000	4290	ירושלים	המשורינים 4
30000	4300	ירושלים	כובשי קטמון 15
30000	4310	ירושלים	כובשי קטמון 15
30000	4320	ירושלים	כובשי קטמון 15
30000	4340	ירושלים	כובשי קטמון 15
30000	4390	ירושלים	רחל אמנו 27
30000	4410	ירושלים	רחל אמנו 27
30000	4520	ירושלים	רחל אמנו 27
30000	8180	ירושלים	אליעזר הגדול 4
30000	8620	ירושלים	יוסי בן יועזר 24
30000	331	ירושלים	מן 7
30000	332	ירושלים	מן 7
30000	333	ירושלים	מן 7
30000	334	ירושלים	מן 7
30000	335	ירושלים	מן 7
30000	336	ירושלים	מן 7
30000	3051	ירושלים	קוסטה ריקה 17
30000	3052	ירושלים	קוסטה ריקה 17
30000	3053	ירושלים	קוסטה ריקה 17
30000	3054	ירושלים	קוסטה ריקה 17
30000	3080	ירושלים	דהומיי 16
30000	3090	ירושלים	הרפוב הדומיניקנית 3
30000	3100	ירושלים	אולשוונגר 48
30000	3121	ירושלים	אולשוונגר 3
30000	3122	ירושלים	אולשוונגר 3
30000	3123	ירושלים	אולשוונגר 3
30000	3124	ירושלים	אולשוונגר 3
30000	3125	ירושלים	אולשוונגר 3
30000	3130	ירושלים	החרצית 10
30000	3220	ירושלים	המעיין 2
30000	3230	ירושלים	המעיין 2
30000	3240	ירושלים	אולשוונגר 48
30000	3250	ירושלים	החרצית 10
30000	3260	ירושלים	דהומיי 7
30000	3270	ירושלים	הנורית 18
30000	3360	ירושלים	דהומיי 6
30000	3370	ירושלים	דהומיי 6
30000	3420	ירושלים	הנורית 18
30000	3480	ירושלים	החרצית 10
30000	3570	ירושלים	הנורית 18
30000	3620	ירושלים	שד דב יוסף 2
30000	3640	ירושלים	מרגולין 3
30000	3650	ירושלים	מרגולין 3
30000	3660	ירושלים	בר יוחאי 53
30000	3680	ירושלים	מרגולין 3
30000	3690	ירושלים	בר יוחאי 53
30000	3700	ירושלים	בעהם אריה 7
30000	3860	ירושלים	בעהם אריה 7
30000	3900	ירושלים	שד דב יוסף 2
30000	4250	ירושלים	דהומיי 6
30000	4260	ירושלים	בר יוחאי 53
30000	2921	ירושלים	חכמי יוסף 28 א
30000	2922	ירושלים	חכמי יוסף 28 א
30000	2923	ירושלים	חכמי יוסף 28 א
30000	2924	ירושלים	חכמי יוסף 28 א
30000	2925	ירושלים	חכמי יוסף 28 א
30000	3061	ירושלים	דולצ'ין 21
30000	3062	ירושלים	דולצ'ין 21
30000	3063	ירושלים	דולצ'ין 21
30000	3064	ירושלים	דולצ'ין 21
30000	3065	ירושלים	דולצ'ין 21
30000	3070	ירושלים	האייל 72
30000	3110	ירושלים	זנגויל 29
30000	3140	ירושלים	בורוכוב 9 א
30000	3160	ירושלים	זנגויל 25
30000	3170	ירושלים	זנגויל 29
30000	3180	ירושלים	זנגויל 25
30000	3190	ירושלים	בורוכוב 9 א
30000	3210	ירושלים	זנגויל 25
30000	3280	ירושלים	צ'ילה 8
30000	3300	ירושלים	צ'ילה 8
30000	3310	ירושלים	גרינולד 8
30000	3320	ירושלים	גואטמאלה 3
30000	3331	ירושלים	וולטה העלית 12
30000	3332	ירושלים	וולטה העלית 12
30000	3333	ירושלים	וולטה העלית 12
30000	3334	ירושלים	וולטה העלית 12
30000	3335	ירושלים	וולטה העלית 12
30000	3340	ירושלים	גרינולד 8
30000	3351	ירושלים	רקם 2
30000	3352	ירושלים	רקם 2
30000	3380	ירושלים	האייל 72
