Party ID	Excel Name	Ballot Symbol	Party Name	Knesset #	Bloc
358	יק	יק	Bible Bloc	24	Micro
359	יר	יר	Social Leadership	24	Micro
360	כ	כ	Jewish Heart	24	Micro
361	כך	כך	Me and You	24	Micro
362	כן	כן	Blue and White	24	Secular Centre
363	ל	ל	Yisrael Beiteinu	24	Right
364	מחל	מחל	Likud	24	Right
365	מרצ	מרצ	Meretz	24	Left
366	נ	נ	Kama	24	Micro
367	ני	ני	New World	24	Micro
368	נר	נר	Us	24	Micro
369	עם	עם	United Arab List	24	Arab-Israeli
370	פה	פה	Yesh Atid	24	Secular Centre
371	ףז	ףז	Pirate Party	24	Micro
372	צי	צי	Atzmeinu	24	Micro
373	צכ	צכ	Ma'an – Together for a New Era	24	Micro
374	צף	צף	Hetz	24	Micro
375	ץ	ץ	Da'am Workers Party	24	Micro
376	ק	ק	The Impossible – Possible	24	Micro
377	קי	קי	Shama	24	Micro
378	קך	קך	New Order	24	Micro
379	קץ	קץ	Mishpat Tzedek	24	Micro
380	ר	ר	Rapeh only Health	24	Micro
381	רנ	רנ	Hope for Change	24	Micro
382	רף	רף	Am Shalem	24	Micro
383	שס	שס	Shas	24	Orthodox
384	ת	ת	New Hope	24	Right
385	אמת	אמת	Israeli Labour Party	25	Left
386	אצ	אצ	Economic Freedom	25	Micro
387	ב	ב	The Jewish Home	25	Right
388	ג	ג	United Torah Judaism	25	Orthodox
389	ד	ד	Balad	25	Arab-Israeli
390	ום	ום	Hadash–Ta'al	25	Arab-Israeli
391	ז	ז	Dawn Social Power	25	Micro
392	זך	זך	Kama	25	Micro
393	זנ	זנ	Koah Lehashpi'a	25	Micro
394	זץ	זץ	Tzomet	25	Micro
395	ט	ט	Religious Zionism-Otzma Yehudit	25	Orthodox
396	י	י	Free Democratic Israel	25	Micro
397	יז	יז	New Economic Party	25	Micro
398	ינ	ינ	Common Alliance	25	Micro
399	יץ	יץ	Order of the Hour	25	Micro
400	יק	יק	Bible Bloc	25	Micro
401	כן	כן	National Unity	25	Secular Centre
402	ך	ך	Me and You	25	Micro
403	ל	ל	Yisrael Beiteinu	25	Right
404	מחל	מחל	Likud	25	Right
405	מרצ	מרצ	Meretz	25	Left
406	נז	נז	Respect for Humanity	25	Micro
